Protein	Entry	Protein description	Gene.names	Gene	Mitochondrion	Annotation (general)	AgingAnnotation (elife paper)	ENSG	name	type	description	r_CTR_lower	r_CTR	r_CTR_upper	r_PAD_lower	r_PAD	r_PAD_upper	diff	r_CTR_pval	r_PAD_pval
SETD7_HUMAN	Q8WTS6	Histone-lysine N-methyltransferase SETD7 (EC 2.1.1.364) (Histone H3-K4 methyltransferase SETD7) (H3-K4-HMTase SETD7) (Lysine N-methyltransferase 7) (SET domain-containing protein 7) (SET7/9)	SETD7 KIAA1717 KMT7 SET7 SET9	SETD7	FALSE	Transcription regulation	Epigenetic Alterations	ENSG00000145391	SETD7	protein_coding	SET domain containing 7, histone lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:30412]	-0.445545407238142	-0.0869158703216516	0.295751176413501	-0.33125782214932	0.0261519609435832	0.376998552497397	0	0.660095802735934	0.888938150479705
SMYD1_HUMAN	Q8NB12	Histone-lysine N-methyltransferase SMYD1 (EC 2.1.1.354) (SET and MYND domain-containing protein 1)	SMYD1	SMYD1	FALSE	Transcription regulation	Epigenetic Alterations	ENSG00000115593	SMYD1	protein_coding	SET and MYND domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20986]	-0.345617364999247	0.0315243753571664	0.3998980956074	-0.554769250690983	-0.249468998901925	0.115040326325968	0	0.87347562766303	0.17592217674984
SMYD2_HUMAN	Q9NRG4	N-lysine methyltransferase SMYD2 (EC 2.1.1.-) (HSKM-B) (Histone methyltransferase SMYD2) (EC 2.1.1.354) (Lysine N-methyltransferase 3C) (SET and MYND domain-containing protein 2)	SMYD2 KMT3C	SMYD2	FALSE	Transcription regulation	Epigenetic Alterations	ENSG00000143499	SMYD2	protein_coding	SET and MYND domain containing 2 [Source:HGNC Symbol;Acc:HGNC:20982]	-0.390742964051365	-0.020680828390942	0.355136167497189	-0.467329871394739	-0.135413352677706	0.229960836270389	0	0.916808833592551	0.467641133698305
HTAI2_HUMAN	Q9BUP3	Oxidoreductase HTATIP2 (EC 1.1.1.-) (30 kDa HIV-1 TAT-interacting protein) (HIV-1 TAT-interactive protein 2)	HTATIP2 CC3 TIP30	HTATIP2	FALSE	Apoptosis	Genomic Instability	ENSG00000109854	HTATIP2	protein_coding	HIV-1 Tat interactive protein 2 [Source:HGNC Symbol;Acc:HGNC:16637]	-0.56448238065349	0.159393595912942	0.744685336470453	-0.810344600805383	-0.368974207436563	0.339530389029685	0	0.682082494402171	0.294068357521373
TAOK1_HUMAN	Q7L7X3	Serine/threonine-protein kinase TAO1 (EC 2.7.11.1) (Kinase from chicken homolog B) (hKFC-B) (MARK Kinase) (MARKK) (Prostate-derived sterile 20-like kinase 2) (PSK-2) (PSK2) (Prostate-derived STE20-like kinase 2) (Thousand and one amino acid protein kinase 1) (TAOK1) (hTAOK1)	TAOK1 KIAA1361 MAP3K16 MARKK	TAOK1	FALSE	Apoptosis	Genomic Instability	ENSG00000160551	TAOK1	protein_coding	TAO kinase 1 [Source:HGNC Symbol;Acc:HGNC:29259]	-0.590116233896573	-0.170113809155906	0.322358297906448	-0.204903703445085	0.248789562721996	0.614481538054797	0	0.499762686565827	0.27681650314917
TERA_HUMAN	P55072	Transitional endoplasmic reticulum ATPase (TER ATPase) (EC 3.6.4.6) (15S Mg(2+)-ATPase p97 subunit) (Valosin-containing protein) (VCP)	VCP	VCP	FALSE	Autophagy	Genomic Instability	ENSG00000165280	VCP	protein_coding	valosin containing protein [Source:HGNC Symbol;Acc:HGNC:12666]	-0.309237686693166	0.0721648620985068	0.433568798388129	-0.375810623694879	-0.0247688411261078	0.332489403304753	0	0.715165842391	0.894778689993215
UBP10_HUMAN	Q14694	Ubiquitin carboxyl-terminal hydrolase 10 (EC 3.4.19.12) (Deubiquitinating enzyme 10) (Ubiquitin thioesterase 10) (Ubiquitin-specific-processing protease 10)	USP10 KIAA0190	USP10	FALSE	Autophagy	Genomic Instability	ENSG00000103194	USP10	protein_coding	ubiquitin specific peptidase 10 [Source:HGNC Symbol;Acc:HGNC:12608]	-0.581213402061339	-0.26576403134978	0.119124103130937	-0.472750256216389	-0.142236855313519	0.223360693644393	0	0.171655104317887	0.445290246995121
CSDE1_HUMAN	O75534	Cold shock domain-containing protein E1 (N-ras upstream gene protein) (Protein UNR)	CSDE1 D1S155E KIAA0885 NRU UNR	CSDE1	FALSE	Binding Protein	Genomic Instability	ENSG00000009307	CSDE1	protein_coding	cold shock domain containing E1 [Source:HGNC Symbol;Acc:HGNC:29905]	-0.338888641646908	0.0391363565323041	0.406281225098533	-0.56938316933112	-0.269394898051262	0.0939095889518277	0	0.84326110224995	0.142773473416858
DHX9_HUMAN	Q08211	ATP-dependent RNA helicase A (EC 3.6.4.13) (DEAH box protein 9) (DExH-box helicase 9) (Leukophysin) (LKP) (Nuclear DNA helicase II) (NDH II) (RNA helicase A)	DHX9 DDX9 LKP NDH2	DHX9	FALSE	Binding Protein	Genomic Instability	ENSG00000135829	DHX9	protein_coding	DExH-box helicase 9 [Source:HGNC Symbol;Acc:HGNC:2750]	-0.428094552506368	-0.06547473848144	0.315304160911791	-0.508667288515791	-0.188259246380397	0.177951636372248	0	0.740629875621296	0.31048057864436
DTD1_HUMAN	Q8TEA8	D-aminoacyl-tRNA deacylase 1 (DTD) (EC 3.1.1.96) (DNA-unwinding element-binding protein B) (DUE-B) (Gly-tRNA(Ala) deacylase) (Histidyl-tRNA synthase-related)	DTD1 C20orf88 DUEB HARS2	DTD1	FALSE	Binding Protein	Genomic Instability	ENSG00000125821	DTD1	protein_coding	D-aminoacyl-tRNA deacylase 1 [Source:HGNC Symbol;Acc:HGNC:16219]	-0.110863483992061	0.273526674189273	0.586729877353047	-0.463527329531367	-0.130645205044577	0.234553040663826	-1	0.159011333626971	0.483601926939256
HMGB1_HUMAN	P09429	High mobility group protein B1 (High mobility group protein 1) (HMG-1)	HMGB1 HMG1	HMGB1	FALSE	Binding Protein	Genomic Instability	ENSG00000189403	HMGB1	protein_coding	high mobility group box 1 [Source:HGNC Symbol;Acc:HGNC:4983]	-0.394108420805512	-0.0246568580762621	0.351654910601695	-0.110755056747629	0.253535035484489	0.55776671305912	0	0.900886163069703	0.168752944672881
DJC13_HUMAN	O75165	DnaJ homolog subfamily C member 13 (Required for receptor-mediated endocytosis 8) (RME-8)	DNAJC13 KIAA0678 RME8	DNAJC13	FALSE	Chaperons	Genomic Instability	ENSG00000138246	DNAJC13	protein_coding	DnaJ heat shock protein family (Hsp40) member C13 [Source:HGNC Symbol;Acc:HGNC:30343]	-0.488825109803801	-0.141565368316362	0.244420577561936	-0.399505699680077	-0.052613609591353	0.307458493649792	0	0.472404680246412	0.77863625605988
RBBP7_HUMAN	Q16576	Histone-binding protein RBBP7 (Histone acetyltransferase type B subunit 2) (Nucleosome-remodeling factor subunit RBAP46) (Retinoblastoma-binding protein 7) (RBBP-7) (Retinoblastoma-binding protein p46)	RBBP7 RBAP46	RBBP7	FALSE	Chaperons	Genomic Instability	ENSG00000102054	RBBP7	protein_coding	RB binding protein 7, chromatin remodeling factor [Source:HGNC Symbol;Acc:HGNC:9890]	-0.100714489738601	0.282995794296784	0.593419921310374	0.108718893950914	0.445882090325779	0.691041810316359	0	0.144503819237139	0.0119365141195421
TBB4A_HUMAN	P04350	Tubulin beta-4A chain (Tubulin 5 beta) (Tubulin beta-4 chain)	TUBB4A TUBB4 TUBB5	TUBB4A	FALSE	Cytoskeleton	Genomic Instability	ENSG00000104833	TUBB4A	protein_coding	tubulin beta 4A class IVa [Source:HGNC Symbol;Acc:HGNC:20774]	-0.0517333708832453	0.327667717385728	0.624413100653667	-0.438031333172393	-0.0990677196280133	0.264559405707732	-1	0.088725181018565	0.595955189602775
ACL6A_HUMAN	O96019	Actin-like protein 6A (53 kDa BRG1-associated factor A) (Actin-related protein Baf53a) (ArpNbeta) (BRG1-associated factor 53A) (BAF53A) (INO80 complex subunit K)	ACTL6A BAF53 BAF53A INO80K	ACTL6A	FALSE	DNA Damage	Genomic Instability	ENSG00000136518	ACTL6A	protein_coding	actin like 6A [Source:HGNC Symbol;Acc:HGNC:24124]	-0.473741690266401	-0.1222760947943	0.262788837455566	-0.483575213806805	-0.155958618715869	0.209985820671755	0	0.535351260750269	0.402142318608631
ALKB3_HUMAN	Q96Q83	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3 (EC 1.14.11.54) (Alkylated DNA repair protein alkB homolog 3) (hABH3) (DEPC-1) (Prostate cancer antigen 1)	ALKBH3 ABH3 DEPC1	ALKBH3	FALSE	DNA Damage	Genomic Instability	ENSG00000166199	ALKBH3	protein_coding	alkB homolog 3, alpha-ketoglutarate dependent dioxygenase [Source:HGNC Symbol;Acc:HGNC:30141]	-0.456432867813888	0.0978412290649732	0.597407770441183	-0.325253239954094	0.224397652428514	0.660711344373096	0	0.739318310511697	0.421383078220324
ARMT1_HUMAN	Q9H993	Damage-control phosphatase ARMT1 (EC 3.1.3.-) (Acidic residue methyltransferase 1) (Protein-glutamate O-methyltransferase) (EC 2.1.1.-) (Sugar phosphate phosphatase ARMT1)	ARMT1 C6orf211	ARMT1	FALSE	DNA Damage	Genomic Instability	ENSG00000146476	ARMT1	protein_coding	acidic residue methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:17872]	-0.49338439374426	-0.147448328193142	0.238762841514421	-0.495678951342248	-0.171452580855676	0.194717094792669	0	0.454002944538904	0.356406964774073
BABA1_HUMAN	Q9NWV8	BRISC and BRCA1-A complex member 1 (Mediator of RAP80 interactions and targeting subunit of 40 kDa) (New component of the BRCA1-A complex)	BABAM1 C19orf62 MERIT40 NBA1 HSPC142	BABAM1	FALSE	DNA Damage	Genomic Instability	ENSG00000105393	BABAM1	protein_coding	BRISC and BRCA1 A complex member 1 [Source:HGNC Symbol;Acc:HGNC:25008]	-0.289975532537489	0.138819541655132	0.521197880237591	-0.0770439394007871	0.31985342337799	0.629244574788262	0	0.527583846490271	0.111182976118684
BCCIP_HUMAN	Q9P287	BRCA2 and CDKN1A-interacting protein (P21- and CDK-associated protein 1) (Protein TOK-1)	BCCIP TOK1	BCCIP	FALSE	DNA Damage	Genomic Instability	ENSG00000107949	BCCIP	protein_coding	BRCA2 and CDKN1A interacting protein [Source:HGNC Symbol;Acc:HGNC:978]	-0.211586846359541	0.268418745906091	0.644100413244038	-0.702531254166093	-0.388738561010158	0.051608873765683	-1	0.266514131081615	0.0815788270008511
BRCC3_HUMAN	P46736	Lys-63-specific deubiquitinase BRCC36 (EC 3.4.19.-) (BRCA1-A complex subunit BRCC36) (BRCA1/BRCA2-containing complex subunit 3) (BRCA1/BRCA2-containing complex subunit 36) (BRISC complex subunit BRCC36)	BRCC3 BRCC36 C6.1A CXorf53	BRCC3	FALSE	DNA Damage	Genomic Instability	ENSG00000185515	BRCC3	protein_coding	BRCA1/BRCA2-containing complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:24185]	-0.30620070962706	0.0755012065398992	0.436288856121746	-0.311464625387572	0.0481944462526761	0.395775813184042	0	0.702575689027073	0.796825420575322
CCAR2_HUMAN	Q8N163	Cell cycle and apoptosis regulator protein 2 (Cell division cycle and apoptosis regulator protein 2) (DBIRD complex subunit KIAA1967) (Deleted in breast cancer gene 1 protein) (DBC-1) (DBC.1) (NET35) (p30 DBC)	CCAR2 DBC1 KIAA1967	CCAR2	FALSE	DNA Damage	Genomic Instability	ENSG00000158941	KIAA1967	protein_coding	cell cycle and apoptosis regulator 2 [Source:HGNC Symbol;Acc:HGNC:23360]	-0.691935993891929	-0.429813397550162	-0.0675718488594336	-0.390466603405843	-0.0419274859065199	0.317124015577582	1	0.0224437611389197	0.82279816014434
CDK2_HUMAN	P24941	Cyclin-dependent kinase 2 (EC 2.7.11.22) (Cell division protein kinase 2) (p33 protein kinase)	CDK2 CDKN2	CDK2	FALSE	DNA Damage	Genomic Instability	ENSG00000123374	CDK2	protein_coding	cyclin dependent kinase 2 [Source:HGNC Symbol;Acc:HGNC:1771]	-0.624581385989804	0.0675669696531944	0.700265863662096	-0.647911075617022	-0.0785757633723842	0.547086521993671	0	0.862876287841229	0.818370831331137
CETN2_HUMAN	P41208	Centrin-2 (Caltractin isoform 1)	CETN2 CALT CEN2	CETN2	FALSE	DNA Damage	Genomic Instability	ENSG00000147400	CETN2	protein_coding	centrin 2 [Source:HGNC Symbol;Acc:HGNC:1867]	-0.441808193394072	0.0155144252175194	0.466436826449956	0.295264524125778	0.652525832024289	0.849692578674955	1	0.949736131881281	0.00181777812454761
CHIP_HUMAN	Q9UNE7	E3 ubiquitin-protein ligase CHIP (EC 2.3.2.27) (Antigen NY-CO-7) (CLL-associated antigen KW-8) (Carboxy terminus of Hsp70-interacting protein) (RING-type E3 ubiquitin transferase CHIP) (STIP1 homology and U box-containing protein 1)	STUB1 CHIP PP1131	STUB1	FALSE	DNA Damage	Genomic Instability	ENSG00000103266	STUB1	protein_coding	STIP1 homology and U-box containing protein 1 [Source:HGNC Symbol;Acc:HGNC:11427]	-0.270342572350379	0.114258284154767	0.467410830648819	-0.363881249348878	-0.0109534412684304	0.344724638946219	0	0.562633448007978	0.953364994347465
CUL4A_HUMAN	Q13619	Cullin-4A (CUL-4A)	CUL4A	CUL4A	FALSE	DNA Damage	Genomic Instability	ENSG00000139842	CUL4A	protein_coding	cullin 4A [Source:HGNC Symbol;Acc:HGNC:2554]	-0.185565124121587	0.201458811406581	0.534372498298889	-0.480372003339636	-0.151884999826918	0.213970803847129	0	0.303946990329713	0.414696717426655
CUL4B_HUMAN	Q13620	Cullin-4B (CUL-4B)	CUL4B KIAA0695	CUL4B	FALSE	DNA Damage	Genomic Instability	ENSG00000158290	CUL4B	protein_coding	cullin 4B [Source:HGNC Symbol;Acc:HGNC:2555]	-0.353181776286324	0.0690767522415151	0.467954582716187	0.0606463870869816	0.437715728861093	0.7054573487093	0	0.754143624793766	0.0253286066794547
DDB1_HUMAN	Q16531	DNA damage-binding protein 1 (DDB p127 subunit) (DNA damage-binding protein a) (DDBa) (Damage-specific DNA-binding protein 1) (HBV X-associated protein 1) (XAP-1) (UV-damaged DNA-binding factor) (UV-damaged DNA-binding protein 1) (UV-DDB 1) (XPE-binding factor) (XPE-BF) (Xeroderma pigmentosum group E-complementing protein) (XPCe)	DDB1 XAP1	DDB1	FALSE	DNA Damage	Genomic Instability	ENSG00000167986	DDB1	protein_coding	damage specific DNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:2717]	-0.0519512896446017	0.327472657545035	0.624279770129431	-0.349629198307091	0.00537707474171386	0.35903312403645	0	0.0889264946404179	0.977097364892791
EYA4_HUMAN	O95677	Eyes absent homolog 4 (EC 3.1.3.48)	EYA4	EYA4	FALSE	DNA Damage	Genomic Instability	ENSG00000112319	EYA4	protein_coding	EYA transcriptional coactivator and phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:3522]	-0.290414135467579	0.18868426544177	0.592145418952048	-0.377471473490808	0.0780940601658092	0.503224294080865	0	0.439162619458536	0.743471497378767
FBX6_HUMAN	Q9NRD1	F-box only protein 6 (F-box protein that recognizes sugar chains 2) (F-box/G-domain protein 2)	FBXO6 FBG2 FBS2 FBX6	FBXO6	FALSE	DNA Damage	Genomic Instability	ENSG00000116663	FBXO6	protein_coding	F-box protein 6 [Source:HGNC Symbol;Acc:HGNC:13585]	-0.443670518661269	0.113666317151208	0.607601943135319	-0.875695750198699	-0.659093107688221	-0.221673720245596	-1	0.698825729936874	0.00752766261959658
FTO_HUMAN	Q9C0B1	Alpha-ketoglutarate-dependent dioxygenase FTO (Fat mass and obesity-associated protein) (U6 small nuclear RNA (2'-O-methyladenosine-N(6)-)-demethylase FTO) (EC 1.14.11.-) (U6 small nuclear RNA N(6)-methyladenosine-demethylase FTO) (EC 1.14.11.-) (mRNA (2'-O-methyladenosine-N(6)-)-demethylase FTO) (m6A(m)-demethylase FTO) (EC 1.14.11.-) (mRNA N(6)-methyladenosine demethylase FTO) (EC 1.14.11.53) (tRNA N1-methyl adenine demethylase FTO) (EC 1.14.11.-)	FTO KIAA1752	FTO	FALSE	DNA Damage	Genomic Instability	ENSG00000140718	FTO	protein_coding	FTO alpha-ketoglutarate dependent dioxygenase [Source:HGNC Symbol;Acc:HGNC:24678]	-0.734395396483201	-0.497674228566203	-0.153006051821713	-0.273965915045931	0.0890155806101022	0.429799067905404	1	0.0070433357199281	0.633933344338212
H2AX_HUMAN	P16104	Histone H2AX (H2a/x) (Histone H2A.X)	H2AX H2AFX	H2AX	FALSE	DNA Damage	Genomic Instability	ENSG00000188486	H2AFX	protein_coding	H2A.X variant histone [Source:HGNC Symbol;Acc:HGNC:4739]	-0.799791930162088	-0.289373743098512	0.463899976846179	-0.717525395057234	-0.206558392372042	0.448945051693652	0	0.450094536177672	0.542272919105238
HERC2_HUMAN	O95714	E3 ubiquitin-protein ligase HERC2 (EC 2.3.2.26) (HECT domain and RCC1-like domain-containing protein 2) (HECT-type E3 ubiquitin transferase HERC2)	HERC2	HERC2	FALSE	DNA Damage	Genomic Instability	ENSG00000128731	HERC2	protein_coding	HECT and RLD domain containing E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:4868]	-0.511371990968573	0.0263594495698308	0.549257160277383	-0.234655000033561	0.315536978251932	0.712614355706269	0	0.928726709944423	0.25195184000161
HUWE1_HUMAN	Q7Z6Z7	E3 ubiquitin-protein ligase HUWE1 (EC 2.3.2.26) (ARF-binding protein 1) (ARF-BP1) (HECT, UBA and WWE domain-containing protein 1) (HECT-type E3 ubiquitin transferase HUWE1) (Homologous to E6AP carboxyl terminus homologous protein 9) (HectH9) (Large structure of UREB1) (LASU1) (Mcl-1 ubiquitin ligase E3) (Mule) (Upstream regulatory element-binding protein 1) (URE-B1) (URE-binding protein 1)	HUWE1 KIAA0312 KIAA1578 UREB1 HSPC272	HUWE1	FALSE	DNA Damage	Genomic Instability	ENSG00000086758	HUWE1	protein_coding	HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:30892]	-0.18295549989987	0.204049101284143	0.53629967444122	0.0146730929584336	0.367104538872181	0.638401479631278	0	0.297639885448804	0.0422035103065353
MACD1_HUMAN	Q9BQ69	ADP-ribose glycohydrolase MACROD1 (MACRO domain-containing protein 1) (O-acetyl-ADP-ribose deacetylase MACROD1) (EC 3.1.1.106) (Protein LRP16) ([Protein ADP-ribosylaspartate] hydrolase MACROD1) (EC 3.2.2.-) ([Protein ADP-ribosylglutamate] hydrolase MACROD1) (EC 3.2.2.-)	MACROD1 LRP16	MACROD1	FALSE	DNA Damage	Genomic Instability	ENSG00000133315	MACROD1	protein_coding	mono-ADP ribosylhydrolase 1 [Source:HGNC Symbol;Acc:HGNC:29598]	-0.391794986790324	-0.0219224564118237	0.354050164473985	-0.274811710488373	0.0881080950147345	0.429053077860097	0	0.911832867931748	0.637409262419022
MAPK2_HUMAN	P49137	MAP kinase-activated protein kinase 2 (MAPK-activated protein kinase 2) (MAPKAP kinase 2) (MAPKAP-K2) (MAPKAPK-2) (MK-2) (MK2) (EC 2.7.11.1)	MAPKAPK2	MAPKAPK2	FALSE	DNA Damage	Genomic Instability	ENSG00000162889	MAPKAPK2	protein_coding	MAPK activated protein kinase 2 [Source:HGNC Symbol;Acc:HGNC:6887]	-0.567628514538818	-0.246820552992006	0.139061591641009	-0.000378929757129208	0.354008722883797	0.629397534901468	1	0.205439676969899	0.0507206625674953
MMS19_HUMAN	Q96T76	MMS19 nucleotide excision repair protein homolog (hMMS19) (MET18 homolog) (MMS19-like protein)	MMS19 MMS19L	MMS19	FALSE	DNA Damage	Genomic Instability	ENSG00000155229	MMS19	protein_coding	MMS19 homolog, cytosolic iron-sulfur assembly component [Source:HGNC Symbol;Acc:HGNC:13824]	-0.505513215384417	-0.16321853900926	0.223465915504604	-0.444128543149066	-0.106557677964105	0.257505237214015	0	0.406605969503435	0.568314376649763
MRE11_HUMAN	P49959	Double-strand break repair protein MRE11 (EC 3.1.-.-) (Double-strand break repair protein MRE11A) (Meiotic recombination 11 homolog 1) (MRE11 homolog 1) (Meiotic recombination 11 homolog A) (MRE11 homolog A)	MRE11 HNGS1 MRE11A	MRE11	FALSE	DNA Damage	Genomic Instability	ENSG00000020922	MRE11A	protein_coding	MRE11 homolog, double strand break repair nuclease [Source:HGNC Symbol;Acc:HGNC:7230]	-0.335704322837518	0.0887835478906013	0.483298557229335	-0.574915639027194	-0.241299907646327	0.161110726567539	0	0.687063559340549	0.235019292981161
NHEJ1_HUMAN	Q9H9Q4	Non-homologous end-joining factor 1 (Protein cernunnos) (XRCC4-like factor)	NHEJ1 XLF	NHEJ1	FALSE	DNA Damage	Genomic Instability	ENSG00000187736	NHEJ1	protein_coding	non-homologous end joining factor 1 [Source:HGNC Symbol;Acc:HGNC:25737]	-0.45403894821401	-0.0974731360761147	0.286004333904343	-0.582228455396056	-0.28712399756096	0.0748292128989356	0	0.621700576354252	0.117318840613798
NONO_HUMAN	Q15233	Non-POU domain-containing octamer-binding protein (NonO protein) (54 kDa nuclear RNA- and DNA-binding protein) (55 kDa nuclear protein) (DNA-binding p52/p100 complex, 52 kDa subunit) (NMT55) (p54(nrb)) (p54nrb)	NONO NRB54	NONO	FALSE	DNA Damage	Genomic Instability	ENSG00000147140	NONO	protein_coding	non-POU domain containing octamer binding [Source:HGNC Symbol;Acc:HGNC:7871]	-0.26059444446117	0.124595920706248	0.475566673037343	0.0930413910658389	0.433102847358976	0.682675659191056	0	0.527576459818981	0.0149430759338818
PARP1_HUMAN	P09874	Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (DNA ADP-ribosyltransferase PARP1) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1) (Protein poly-ADP-ribosyltransferase PARP1) (EC 2.4.2.-)	PARP1 ADPRT PPOL	PARP1	FALSE	DNA Damage	Genomic Instability	ENSG00000143799	PARP1	protein_coding	poly(ADP-ribose) polymerase 1 [Source:HGNC Symbol;Acc:HGNC:270]	-0.485546487911381	-0.137349986363227	0.248458479226894	-0.189435676904025	0.176770074190493	0.499804099971442	0	0.485823970607347	0.341457854072066
PARP9_HUMAN	Q8IXQ6	Protein mono-ADP-ribosyltransferase PARP9 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 9) (ARTD9) (B aggressive lymphoma protein) (Poly [ADP-ribose] polymerase 9) (PARP-9)	PARP9 BAL BAL1	PARP9	FALSE	DNA Damage	Genomic Instability	ENSG00000138496	PARP9	protein_coding	poly(ADP-ribose) polymerase family member 9 [Source:HGNC Symbol;Acc:HGNC:24118]	-0.120190901882757	0.353306003603433	0.695849011834982	-0.568626742999814	-0.168507312955465	0.296092490449216	-1	0.137857027458857	0.477599942420131
PAXX_HUMAN	Q9BUH6	Protein PAXX (Paralog of XRCC4 and XLF) (XRCC4-like small protein)	PAXX C9orf142 XLS	PAXX	FALSE	DNA Damage	Genomic Instability	ENSG00000148362	C9orf142	protein_coding	PAXX non-homologous end joining factor [Source:HGNC Symbol;Acc:HGNC:27849]	-0.589351274069414	-0.233993603199097	0.197232140091017	-0.65910214376322	-0.364914522006029	0.02613104988287	0	0.282544573024617	0.0668041472691154
PCNA_HUMAN	P12004	Proliferating cell nuclear antigen (PCNA) (Cyclin)	PCNA	PCNA	FALSE	DNA Damage	Genomic Instability	ENSG00000132646	PCNA	protein_coding	proliferating cell nuclear antigen [Source:HGNC Symbol;Acc:HGNC:8729]	0.0215689156109434	0.391495532599139	0.667132460995599	-0.379916950165724	-0.0295555997279714	0.328221901065503	-1	0.0393787998937338	0.874590415804745
PPP5_HUMAN	P53041	Serine/threonine-protein phosphatase 5 (PP5) (EC 3.1.3.16) (Protein phosphatase T) (PP-T) (PPT)	PPP5C PPP5	PPP5C	FALSE	DNA Damage	Genomic Instability	ENSG00000011485	PPP5C	protein_coding	protein phosphatase 5 catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9322]	-0.231302769012037	0.15516382422486	0.499335214476336	-0.450535259489422	-0.11446933542387	0.250011521285368	0	0.430457572251502	0.53976509352794
PRKDC_HUMAN	P78527	DNA-dependent protein kinase catalytic subunit (DNA-PK catalytic subunit) (DNA-PKcs) (EC 2.7.11.1) (DNPK1) (p460)	PRKDC HYRC HYRC1	PRKDC	FALSE	DNA Damage	Genomic Instability	ENSG00000253729	PRKDC	protein_coding	protein kinase, DNA-activated, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9413]	-0.356359206623668	0.019281137626808	0.389555855550652	-0.161891173634772	0.204160520139316	0.520823117020831	0	0.922421924053695	0.270609906454929
RAD21_HUMAN	O60216	Double-strand-break repair protein rad21 homolog (hHR21) (Nuclear matrix protein 1) (NXP-1) (SCC1 homolog) [Cleaved into: 64-kDa C-terminal product (64-kDa carboxy-terminal product) (65-kDa carboxy-terminal product)]	RAD21 HR21 KIAA0078 NXP1 SCC1	RAD21	FALSE	DNA Damage	Genomic Instability	ENSG00000164754	RAD21	protein_coding	RAD21 cohesin complex component [Source:HGNC Symbol;Acc:HGNC:9811]	-0.439359445854205	-0.079277235150249	0.302754102404017	-0.278998273943122	0.0836072857765226	0.425346343434769	0	0.688418548835487	0.6547592477028
RAD50_HUMAN	Q92878	DNA repair protein RAD50 (hRAD50) (EC 3.6.-.-)	RAD50	RAD50	FALSE	DNA Damage	Genomic Instability	ENSG00000113522	RAD50	protein_coding	RAD50 double strand break repair protein [Source:HGNC Symbol;Acc:HGNC:9816]	-0.558011382476791	-0.233556525174963	0.152837861913765	-0.317029767965183	0.0420320834259736	0.39055540642212	0	0.231638274187393	0.822363073438879
RBX1_HUMAN	P62877	E3 ubiquitin-protein ligase RBX1 (EC 2.3.2.27) (EC 2.3.2.32) (E3 ubiquitin-protein transferase RBX1) (Protein ZYP) (RING finger protein 75) (RING-box protein 1) (Rbx1) (Regulator of cullins 1) (ROC1) [Cleaved into: E3 ubiquitin-protein ligase RBX1, N-terminally processed (E3 ubiquitin-protein transferase RBX1, N-terminally processed)]	RBX1 RNF75 ROC1	RBX1	FALSE	DNA Damage	Genomic Instability	ENSG00000100387	RBX1	protein_coding	ring-box 1 [Source:HGNC Symbol;Acc:HGNC:9928]	-0.998480936638274	-0.926212440067751	0.31753528440198	0.0734080302155511	0.897544585538028	0.99326825109979	1	0.0737875599322493	0.0387566967924607
